,Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
165,K. Sharifi,Dastatesne,DF,23,1998,0.44,0.01,0.01,-0.1,,-0.02,0.05,,,,0.09,0.1,Tournament,2020,,,,,,
166,N. Dauda,Dastatesne,DF,29,1992,2.3,0.04,0.01,0.03,,-0.03,0.03,,,,-0.04,-0.05,Tournament,2020,,,,,,
167,M. Akpan,Dastatesne,DFFW,30,1991,3.91,0.08,0.47,-0.06,0.03,0.47,0.02,0.0,,,-0.02,-0.06,Tournament,2020,,,,,,
168,P. binti Ibrahim,Dastatesne,DFMF,28,1992,5.84,0.02,0.36,0.19,49.94,0.32,0.15,-0.06,-0.03,,-0.02,-0.02,Tournament,2020,,,,,,
169,I. De Graaf,Dastatesne,FW,25,1996,0.85,-0.04,1.26,-0.02,0.02,1.33,-0.05,0.02,,,0.03,0.07,Tournament,2020,,,,,,
170,N. Khalil,Dastatesne,FW,29,1992,2.75,-0.07,3.01,1.07,37.58,3.07,1.06,0.08,-0.01,,0.07,-0.05,Tournament,2020,,,,,,
171,Q. Maturu,Dastatesne,FW,25,1996,2.73,-0.07,1.76,0.32,20.02,1.95,0.31,0.04,0.07,,-0.05,-0.05,Tournament,2020,,,,,,
172,D. Abbasi,Dastatesne,FWMF,34,1987,6.07,0.89,5.44,1.92,36.39,5.42,2.03,0.25,0.46,,-0.1,0.01,Tournament,2020,,,,,,
173,Y. Kizza,Dastatesne,FWMF,28,1992,0.25,-0.01,3.29,0.08,0.04,3.52,-0.06,-0.05,,,-0.09,0.04,Tournament,2020,,,,,,
174,R. Chhang,Dastatesne,GK,32,1989,6.03,0.03,0.06,0.1,,-0.02,-0.05,,,,0.05,-0.03,Tournament,2020,,,,,,
175,A. Mugwagwa,Dastatesne,MF,21,2000,0.29,4.98,4.91,4.92,100.01,4.54,4.57,0.94,1.06,,0.1,-0.01,Tournament,2020,,,,,,
176,D. Khalid,Dastatesne,MF,25,1996,0.08,0.09,0.03,-0.04,,-0.03,0.06,,,,-0.09,0.04,Tournament,2020,,,,,,
177,F. Suad,Dastatesne,MF,27,1993,0.74,0.01,2.43,1.18,49.97,2.66,1.29,0.02,0.09,,-0.09,0.05,Tournament,2020,,,,,,
178,H. Savchenko,Dastatesne,MF,23,1998,1.11,0.05,1.65,-0.02,0.07,1.67,0.03,0.0,,,0.09,-0.1,Tournament,2020,,,,,,
179,O. Sargsyan,Dastatesne,MF,25,1996,1.78,0.02,-0.04,0.01,,0.04,0.08,,,,-0.1,-0.06,Tournament,2020,,,,,,
180,S. Goldberg,Dastatesne,MF,21,2000,0.04,0.01,-0.08,0.01,,-0.05,0.03,,,,-0.1,-0.05,Tournament,2020,,,,,,
181,W. Nakiranda,Dastatesne,MF,33,1988,4.07,-0.08,0.43,0.0,-0.02,0.51,-0.03,0.08,,,0.04,0.07,Tournament,2020,,,,,,
182,A. Ebner,Dastatesne,MFDF,30,1991,2.36,0.06,0.76,0.41,49.97,0.9,0.42,0.0,0.04,,-0.03,-0.05,Tournament,2020,,,,,,
183,C. Akware,Dastatesne,MFDF,26,1995,2.64,-0.06,1.56,0.79,49.96,1.55,0.83,-0.07,0.01,,-0.08,0.08,Tournament,2020,,,,,,
184,C. Tkachuk,Dastatesne,MFDF,30,1991,3.97,-0.06,0.24,-0.05,-0.04,0.19,0.06,-0.06,,,0.02,0.06,Tournament,2020,,,,,,
185,H. Lubwama,Dastatesne,MFFW,22,1999,5.83,0.24,2.17,0.73,30.72,2.21,0.7,0.0,0.19,,-0.1,0.08,Tournament,2020,,,,,,
186,A. Chiwaya,Deshslands Landdenhai,DF,33,1988,2.1,-0.07,-0.1,-0.03,,0.06,-0.05,,,,0.08,0.08,Tournament,2020,,,,,,
187,A. Nalunga,Deshslands Landdenhai,DF,26,1995,1.28,0.03,-0.06,-0.09,,0.08,0.1,,,,-0.02,-0.1,Tournament,2020,,,,,,
188,A. Wi?niewski,Deshslands Landdenhai,DF,26,1995,0.38,-0.04,0.01,-0.01,,-0.09,0.01,,,,0.06,0.0,Tournament,2020,,,,,,
189,F. Rajabi,Deshslands Landdenhai,DF,26,1995,0.02,-0.08,0.06,0.03,,-0.06,0.03,,,,0.1,0.09,Tournament,2020,,,,,,
190,G. Abdullahi,Deshslands Landdenhai,DF,36,1985,0.81,-0.09,1.2,1.03,99.98,1.11,1.07,-0.09,-0.09,,0.06,0.02,Tournament,2020,,,,,,
191,G. Greco,Deshslands Landdenhai,DF,24,1997,5.97,-0.02,0.52,0.03,0.03,0.47,0.0,0.08,,,0.08,0.0,Tournament,2020,,,,,,
192,H. Mlalazi,Deshslands Landdenhai,DF,31,1990,4.01,0.01,-0.02,0.07,,0.06,0.08,,,,-0.07,-0.05,Tournament,2020,,,,,,
193,I. Schulze,Deshslands Landdenhai,DF,28,1993,3.64,0.07,0.04,-0.1,,-0.05,0.02,,,,-0.07,0.02,Tournament,2020,,,,,,
194,J. Gumbo,Deshslands Landdenhai,DF,32,1988,2.67,0.04,-0.01,-0.1,,-0.06,-0.05,,,,-0.08,0.08,Tournament,2020,,,,,,
195,U. bin Awang,Deshslands Landdenhai,DF,30,1990,1.01,-0.07,-0.1,0.1,,-0.04,0.05,,,,0.02,0.09,Tournament,2020,,,,,,
196,X. Baumgartner,Deshslands Landdenhai,DF,29,1992,0.92,-0.08,-0.01,-0.05,,-0.06,0.06,,,,0.08,0.0,Tournament,2020,,,,,,
197,Y. Namukwaya,Deshslands Landdenhai,DF,29,1992,0.94,0.04,-0.01,0.0,,-0.02,-0.01,,,,0.09,0.03,Tournament,2020,,,,,,
198,A. Cho,Deshslands Landdenhai,FW,32,1989,0.73,0.05,-0.01,0.02,,-0.05,-0.05,,,,-0.03,-0.02,Tournament,2020,,,,,,
199,B. Muza,Deshslands Landdenhai,FW,24,1997,2.06,0.0,1.6,0.0,0.05,1.47,-0.06,0.01,,,0.08,-0.06,Tournament,2020,,,,,,
200,H. Akot,Deshslands Landdenhai,FW,24,1996,1.82,0.05,1.55,0.57,33.2,1.58,0.46,0.07,-0.04,,0.01,-0.03,Tournament,2020,,,,,,
201,K. Wanyenze,Deshslands Landdenhai,FW,28,1992,1.77,0.08,1.13,-0.07,0.08,1.24,0.08,0.09,,,0.02,0.01,Tournament,2020,,,,,,
202,X. Riyanto,Deshslands Landdenhai,FW,24,1997,4.84,0.11,1.58,0.18,12.53,1.7,0.2,0.23,0.99,,0.04,0.04,Tournament,2020,,,,,,
203,H. Tibesigwa,Deshslands Landdenhai,FWMF,28,1993,3.08,-0.1,1.61,0.42,20.06,1.67,0.26,-0.06,-0.06,,-0.07,0.02,Tournament,2020,,,,,,
204,D. Ueno,Deshslands Landdenhai,GK,33,1988,0.91,0.1,-0.1,-0.03,,-0.1,-0.04,,,,-0.09,-0.1,Tournament,2020,,,,,,
205,H. Dias,Deshslands Landdenhai,GK,33,1988,1.97,0.06,0.07,-0.08,,0.07,-0.05,,,,-0.01,0.09,Tournament,2020,,,,,,
206,H. Hendriks,Deshslands Landdenhai,GK,28,1993,3.03,0.08,-0.09,-0.02,,-0.08,0.08,,,,0.05,-0.02,Tournament,2020,,,,,,
207,E. Bwanali,Deshslands Landdenhai,MF,27,1994,4.46,0.02,0.46,0.18,50.02,0.41,0.14,0.04,-0.08,,0.05,0.09,Tournament,2020,,,,,,
208,F. Nabiryo,Deshslands Landdenhai,MF,31,1990,2.4,-0.03,1.18,-0.02,0.04,1.24,0.04,-0.07,,,-0.05,-0.04,Tournament,2020,,,,,,
209,G. Bizjak,Deshslands Landdenhai,MF,21,2000,0.75,0.04,2.94,-0.01,-0.03,2.77,0.07,-0.01,,,0.05,-0.04,Tournament,2020,,,,,,
210,L. Hartono,Deshslands Landdenhai,MF,25,1996,3.02,0.05,1.03,0.28,33.3,0.93,0.39,-0.06,-0.04,,-0.07,-0.01,Tournament,2020,,,,,,
211,P. Salo,Deshslands Landdenhai,MF,31,1990,1.91,-0.1,0.02,0.09,,-0.09,-0.02,,,,0.03,-0.05,Tournament,2020,,,,,,
212,Q. Aol,Deshslands Landdenhai,MF,24,1997,0.01,0.03,0.06,-0.07,,0.03,0.07,,,,-0.01,-0.03,Tournament,2020,,,,,,
213,R. Hasegawa,Deshslands Landdenhai,MF,33,1988,3.29,-0.01,2.44,0.83,37.48,2.36,0.94,-0.07,0.08,,0.08,0.35,Tournament,2020,,,,,,
214,R. Kurt,Deshslands Landdenhai,MF,33,1988,2.26,0.45,3.05,0.92,28.5,2.92,0.79,0.02,-0.05,,0.49,0.52,Tournament,2020,,,,,,
215,U. Salimi,Deshslands Landdenhai,MF,23,1998,0.57,-0.02,0.08,-0.05,,0.09,0.03,,,,-0.05,0.06,Tournament,2020,,,,,,
216,X. Sabiiti,Deshslands Landdenhai,MF,20,2001,0.11,-0.03,0.06,0.06,,0.01,0.04,,,,-0.1,0.06,Tournament,2020,,,,,,
217,C. Ngwenya,Deshslands Landdenhai,MFFW,32,1989,2.67,-0.07,0.4,0.41,99.95,0.45,0.48,0.08,-0.01,,-0.04,0.05,Tournament,2020,,,,,,
218,B. Hasan,Djipines,DF,26,1994,1.92,-0.03,-0.01,0.03,,0.02,0.02,,,,0.01,0.05,Tournament,2020,,,,,,
219,C. Magombo,Djipines,DF,24,1997,3.96,-0.07,0.77,0.09,-0.1,0.77,0.01,0.04,,,-0.09,0.08,Tournament,2020,,,,,,
220,F. Nassolo,Djipines,DF,20,2001,2.98,0.29,0.99,0.66,66.64,1.06,0.6,0.27,0.53,,0.07,0.01,Tournament,2020,,,,,,
221,H. Namara,Djipines,DF,26,1995,3.67,0.0,0.36,-0.01,-0.09,0.24,-0.07,0.01,,,-0.08,0.0,Tournament,2020,,,,,,
222,J. Uddin,Djipines,DF,21,2000,0.06,0.0,0.04,0.09,,-0.03,0.02,,,,-0.06,0.09,Tournament,2020,,,,,,
223,L. Peretz,Djipines,DF,29,1992,0.56,0.01,0.09,-0.05,,0.02,0.03,,,,-0.04,-0.08,Tournament,2020,,,,,,
224,M. Tang,Djipines,DF,28,1993,4.92,0.06,0.4,-0.01,-0.08,0.33,0.08,-0.03,,,-0.08,0.09,Tournament,2020,,,,,,
225,N. Dekker,Djipines,DF,24,1997,2.92,-0.02,0.24,-0.07,0.01,0.4,-0.02,-0.08,,,0.07,0.04,Tournament,2020,,,,,,
226,I. binti Omar,Djipines,DFMF,21,2000,5.92,0.03,0.03,0.02,,0.06,0.04,,,,0.03,0.07,Tournament,2020,,,,,,
227,T. Alowo,Djipines,DFMF,32,1989,-0.01,-0.05,0.09,0.09,,0.07,0.01,,,,-0.07,-0.04,Tournament,2020,,,,,,
228,F. Alupo,Djipines,FW,29,1992,3.46,0.66,1.72,0.85,49.94,1.75,0.77,0.42,0.74,,0.03,0.04,Tournament,2020,,,,,,
229,L. Ningsih,Djipines,FW,22,1999,1.08,0.05,1.84,1.76,100.06,1.81,1.8,-0.01,-0.01,,-0.08,0.05,Tournament,2020,,,,,,
230,L. Cauhan,Djipines,FWMF,27,1994,0.26,-0.06,3.36,-0.05,-0.08,2.99,0.07,0.03,,,-0.07,-0.01,Tournament,2020,,,,,,
231,M. Colombo,Djipines,FWMF,21,2000,0.3,-0.04,4.97,0.09,0.08,4.88,0.04,0.01,,,-0.02,-0.01,Tournament,2020,,,,,,
232,N. Hang,Djipines,FWMF,32,1989,0.37,0.03,0.08,-0.01,,0.03,-0.03,,,,0.07,0.07,Tournament,2020,,,,,,
233,H. Brun,Djipines,GK,28,1993,2.07,0.03,0.09,0.08,,-0.06,0.09,,,,-0.06,-0.05,Tournament,2020,,,,,,
234,N. Namugga,Djipines,GK,29,1992,0.16,-0.09,0.09,0.05,,0.06,0.0,,,,0.02,-0.05,Tournament,2020,,,,,,
235,Y. Owino,Djipines,GK,34,1987,3.92,-0.01,-0.02,0.06,,-0.07,-0.08,,,,-0.07,-0.05,Tournament,2020,,,,,,
236,I. Mazza,Djipines,MF,21,1999,2.45,0.0,0.02,-0.06,,-0.04,-0.05,,,,0.01,-0.1,Tournament,2020,,,,,,
237,K. Mohammadzadeh,Djipines,MF,30,1990,1.02,-0.03,2.96,-0.08,0.05,2.95,-0.02,0.0,,,0.09,0.09,Tournament,2020,,,,,,
238,R. Samuel,Djipines,MF,28,1993,1.05,0.95,0.99,0.97,99.95,1.01,0.99,0.95,0.97,,0.03,-0.05,Tournament,2020,,,,,,
239,T. Cheung,Djipines,MF,24,1997,3.03,0.37,1.91,1.05,49.9,2.08,1.09,0.25,0.32,,-0.1,0.0,Tournament,2020,,,,,,
240,U. Hí,Djipines,MF,22,1999,2.61,-0.02,0.83,-0.05,0.07,0.74,0.07,-0.01,,,-0.07,-0.06,Tournament,2020,,,,,,
241,W. Hon,Djipines,MF,24,1997,4.92,0.02,0.42,0.11,50.05,0.37,0.2,0.03,0.01,,-0.09,0.1,Tournament,2020,,,,,,
242,Y. Akampurira,Djipines,MF,20,2000,1.41,-0.08,-0.07,0.01,,0.09,0.05,,,,-0.03,0.02,Tournament,2020,,,,,,
243,C. Mawejje,Djipines,MFFW,24,1997,1.93,0.44,3.09,1.43,49.93,2.97,1.41,0.25,0.36,,0.06,0.06,Tournament,2020,,,,,,
244,I. Koomson,Djipines,MFFW,23,1997,5.46,0.17,1.26,0.59,42.83,1.39,0.47,0.22,0.32,,0.08,-0.02,Tournament,2020,,,,,,
245,Q. Ariko,Djipines,MFFW,32,1989,3.11,0.04,4.46,2.25,49.95,4.51,2.22,0.01,0.0,,-0.1,-0.1,Tournament,2020,,,,,,
246,A. Haruna,Dosqaly,DF,27,1994,0.41,-0.09,0.0,0.03,,0.07,-0.09,,,,0.01,-0.09,Tournament,2020,,,,,,
247,B. Luki?,Dosqaly,DF,22,1998,1.95,-0.02,0.01,0.07,,-0.01,0.02,,,,0.05,-0.05,Tournament,2020,,,,,,
248,B. Mangwiro,Dosqaly,DF,25,1996,4.51,-0.01,0.15,-0.01,0.06,0.26,-0.02,0.04,,,0.01,-0.04,Tournament,2020,,,,,,
249,L. Wilson,Dosqaly,DF,26,1995,1.91,-0.05,0.51,0.01,-0.04,0.54,0.06,-0.03,,,0.07,-0.02,Tournament,2020,,,,,,
250,Q. Coppola,Dosqaly,DF,26,1995,4.95,-0.06,0.13,0.1,-0.05,0.27,0.0,-0.09,,,0.09,0.0,Tournament,2020,,,,,,
251,V. Andersson,Dosqaly,DF,28,1993,6.1,-0.07,0.02,0.06,,0.02,0.0,,,,-0.08,-0.01,Tournament,2020,,,,,,
252,W. Aubert,Dosqaly,DF,23,1998,2.47,0.39,0.89,0.45,50.09,0.8,0.36,0.42,0.96,,0.0,0.04,Tournament,2020,,,,,,
253,B. Klemen?i?,Dosqaly,DFMF,25,1996,4.92,0.18,0.4,0.23,49.9,0.43,0.18,0.4,1.1,,0.05,0.0,Tournament,2020,,,,,,
254,H. Robert,Dosqaly,FW,22,1998,5.11,0.85,1.09,0.62,49.95,1.16,0.68,0.58,1.03,,0.11,0.2,Tournament,2020,,,,,,
255,L. Castro,Dosqaly,FW,31,1990,0.71,0.05,-0.04,-0.1,,0.07,0.06,,,,0.01,-0.03,Tournament,2020,,,,,,
256,L. Obote,Dosqaly,FW,25,1995,2.89,0.04,3.88,1.36,36.48,3.77,1.35,-0.03,0.1,,0.03,0.08,Tournament,2020,,,,,,
257,M. Sakai,Dosqaly,FW,25,1996,1.0,0.94,1.79,1.8,100.02,1.75,1.73,0.55,0.47,,-0.01,0.0,Tournament,2020,,,,,,
258,S. Mlakar,Dosqaly,FW,35,1986,3.25,0.91,2.96,1.82,59.96,3.1,1.84,0.16,0.4,,0.3,0.25,Tournament,2020,,,,,,
259,Y. Sen,Dosqaly,FW,33,1987,2.04,0.97,-0.06,-0.07,,-0.05,0.07,,,,-0.09,-0.01,Tournament,2020,,,,,,
260,I. Tukahirwa,Dosqaly,FWMF,28,1993,0.13,-0.01,4.92,0.03,0.06,6.35,0.04,0.05,,,0.06,0.05,Tournament,2020,,,,,,
261,C. Kakayi,Dosqaly,MF,24,1997,2.03,0.58,0.06,0.0,,0.03,-0.04,,,,0.02,0.03,Tournament,2020,,,,,,
262,C. Langa,Dosqaly,MF,21,2000,1.21,0.05,0.05,-0.08,,0.01,0.01,,,,0.06,-0.07,Tournament,2020,,,,,,
263,H. Cardoso,Dosqaly,MF,32,1989,2.09,-0.01,0.09,-0.06,,0.04,-0.05,,,,0.04,-0.01,Tournament,2020,,,,,,
264,I. Salminen,Dosqaly,MF,18,2002,0.67,0.05,1.64,1.64,100.09,1.57,1.62,0.08,0.08,,0.06,-0.05,Tournament,2020,,,,,,
265,J. Delemovi?,Dosqaly,MF,27,1994,1.12,0.0,0.02,-0.01,,-0.03,-0.09,,,,-0.04,-0.02,Tournament,2020,,,,,,
266,J. Rukundo,Dosqaly,MF,28,1993,5.2,0.05,1.35,0.54,42.82,1.25,0.67,0.05,0.02,,0.06,-0.09,Tournament,2020,,,,,,
267,K. Eyotaru,Dosqaly,MF,24,1997,1.08,0.1,2.03,-0.02,0.06,2.07,0.05,0.0,,,0.0,-0.02,Tournament,2020,,,,,,
268,K. Ndiweni,Dosqaly,MF,28,1993,0.08,0.08,-0.08,0.01,,-0.04,0.07,,,,-0.04,0.01,Tournament,2020,,,,,,
269,M. Matsumoto,Dosqaly,MF,30,1991,3.6,0.19,0.31,0.19,99.95,0.17,0.21,1.04,1.06,,0.09,-0.08,Tournament,2020,,,,,,
270,O. Maulana,Dosqaly,MF,26,1995,5.57,0.09,0.88,0.36,40.01,0.82,0.39,-0.1,-0.01,,-0.02,-0.04,Tournament,2020,,,,,,
271,U. Oola,Dosqaly,MF,27,1994,0.67,0.07,0.09,0.05,,-0.06,-0.09,,,,-0.06,-0.01,Tournament,2020,,,,,,
272,Y. Ademovi?,Dosqaly,MF,32,1988,2.29,-0.07,-0.03,0.1,,0.09,-0.03,,,,-0.04,-0.07,Tournament,2020,,,,,,
273,N. Kamusiime,Dosqaly,MFDF,28,1993,2.39,-0.06,-0.04,-0.01,,-0.01,-0.03,,,,0.03,0.03,Tournament,2020,,,,,,
274,O. Seah,Dosqaly,MFDF,26,1995,1.95,0.03,0.44,-0.01,0.07,0.46,-0.01,0.0,,,0.0,0.06,Tournament,2020,,,,,,
275,O. Aboagye,Dosqaly,MFFW,30,1991,7.67,0.2,1.36,0.49,40.07,1.22,0.51,0.22,0.52,,0.01,0.1,Tournament,2020,,,,,,
276,C. Salihu,Eastern Niasland,DF,26,1995,4.95,-0.06,0.43,0.06,0.05,0.33,-0.09,0.02,,,-0.04,0.08,Tournament,2020,,,,,,
277,K. Abu,Eastern Niasland,DF,31,1990,2.77,-0.01,0.84,-0.08,-0.05,0.67,0.04,-0.08,,,-0.03,-0.07,Tournament,2020,,,,,,
278,K. Peters,Eastern Niasland,DF,26,1995,0.35,-0.02,4.97,2.4,50.03,5.31,2.66,-0.09,-0.07,,0.1,0.04,Tournament,2020,,,,,,
279,M. Schreiber,Eastern Niasland,DF,29,1992,0.26,-0.06,0.09,-0.04,,0.08,0.02,,,,-0.01,-0.02,Tournament,2020,,,,,,
280,S. Doherty,Eastern Niasland,DF,26,1994,3.55,0.02,0.08,-0.04,,0.04,0.06,,,,-0.07,-0.02,Tournament,2020,,,,,,
281,X. Mutesi,Eastern Niasland,DF,26,1995,3.01,0.23,0.56,0.38,49.9,0.74,0.42,0.51,1.06,,-0.07,-0.09,Tournament,2020,,,,,,
282,X. Foo,Eastern Niasland,DFMF,29,1992,5.77,0.13,0.96,0.33,39.91,0.86,0.32,0.17,0.51,,0.08,-0.03,Tournament,2020,,,,,,
283,A. Mwesige,Eastern Niasland,FW,24,1997,1.34,0.87,3.0,2.39,75.01,3.09,2.17,0.26,0.34,,-0.04,-0.01,Tournament,2020,,,,,,
284,K. Philippe,Eastern Niasland,FW,31,1990,3.28,0.24,0.98,0.33,33.32,0.86,0.38,-0.1,0.01,,0.22,0.3,Tournament,2020,,,,,,
285,U. Mohammadi,Eastern Niasland,FW,33,1988,0.25,0.02,3.32,0.09,0.05,3.47,0.03,0.05,,,0.06,-0.07,Tournament,2020,,,,,,
286,Y. Gumede,Eastern Niasland,GK,26,1995,5.24,-0.1,-0.08,0.0,,0.0,0.05,,,,-0.08,-0.1,Tournament,2020,,,,,,
287,Y. Nabuduwa,Eastern Niasland,GK,27,1993,0.79,0.0,0.08,-0.07,,-0.04,-0.09,,,,-0.06,0.01,Tournament,2020,,,,,,
288,B. Lunga,Eastern Niasland,MF,29,1992,0.33,-0.02,0.1,0.05,,0.03,0.07,,,,0.0,-0.03,Tournament,2020,,,,,,
289,C. Williams,Eastern Niasland,MF,31,1990,0.13,-0.06,9.92,-0.03,0.04,12.96,0.03,-0.02,,,0.07,0.0,Tournament,2020,,,,,,
290,I. bin Hassan,Eastern Niasland,MF,25,1996,2.8,-0.05,0.36,-0.03,0.03,0.38,0.0,-0.07,,,-0.08,0.05,Tournament,2020,,,,,,
291,J. Purba,Eastern Niasland,MF,29,1992,3.24,0.08,3.36,1.44,45.48,3.38,1.56,-0.07,0.08,,-0.09,-0.09,Tournament,2020,,,,,,
292,L. Nangiro,Eastern Niasland,MF,26,1995,2.56,0.09,0.85,0.01,0.05,0.87,-0.03,0.08,,,-0.02,-0.06,Tournament,2020,,,,,,
293,O. Lamunu,Eastern Niasland,MF,31,1990,2.84,0.0,1.03,-0.08,-0.05,1.02,-0.03,-0.01,,,-0.07,0.03,Tournament,2020,,,,,,
294,O. Sepp,Eastern Niasland,MF,30,1991,1.58,-0.06,0.73,0.68,100.1,0.64,0.52,-0.01,-0.05,,0.07,0.08,Tournament,2020,,,,,,
295,P. Akbari,Eastern Niasland,MF,25,1996,1.0,0.06,-0.02,0.05,,0.09,0.1,,,,0.01,0.07,Tournament,2020,,,,,,
296,Q. Zee,Eastern Niasland,MF,27,1994,3.89,-0.03,1.77,0.54,28.58,1.87,0.52,0.1,-0.04,,-0.01,-0.01,Tournament,2020,,,,,,
297,V. Nkala,Eastern Niasland,MF,31,1990,0.42,0.04,0.05,0.09,,-0.02,-0.01,,,,0.06,-0.02,Tournament,2020,,,,,,
298,Z. Banda,Eastern Niasland,MF,22,1999,2.98,-0.02,0.73,-0.05,-0.02,0.65,0.03,0.03,,,-0.02,0.07,Tournament,2020,,,,,,
299,C. Seidu,Eastern Niasland,MFDF,27,1994,2.1,0.08,0.4,0.03,-0.02,0.56,-0.08,-0.03,,,-0.03,-0.1,Tournament,2020,,,,,,
300,K. Pawar,Eastern Niasland,MFDF,29,1992,3.91,0.43,1.35,0.68,59.98,1.32,0.68,-0.02,0.05,,0.55,0.6,Tournament,2020,,,,,,
301,J. Soares,Eastern Niasland,MFFW,38,1983,2.47,0.32,1.52,0.38,25.0,1.56,0.38,0.24,0.93,,-0.1,-0.08,Tournament,2020,,,,,,
302,L. Lau,Eastern Niasland,MFFW,34,1987,3.68,0.19,2.17,0.9,37.43,2.24,0.77,0.15,0.35,,0.03,0.06,Tournament,2020,,,,,,
303,C. Begum,Eastern Sleboube,DF,32,1989,4.02,-0.08,0.16,-0.08,-0.09,0.15,0.02,-0.1,,,-0.02,0.07,Tournament,2020,,,,,,
304,J. Alamri,Eastern Sleboube,DF,27,1993,4.08,0.04,0.78,0.09,-0.03,0.69,0.09,-0.09,,,0.01,0.07,Tournament,2020,,,,,,
305,K. Thin,Eastern Sleboube,DF,22,1999,0.44,0.01,0.07,0.03,,0.08,-0.06,,,,-0.07,0.02,Tournament,2020,,,,,,
306,N. Schumacher,Eastern Sleboube,DF,31,1990,1.91,0.59,0.57,0.51,99.92,0.54,0.57,0.94,1.08,,-0.05,0.07,Tournament,2020,,,,,,
307,P. Sullivan,Eastern Sleboube,DF,34,1987,4.04,-0.07,-0.02,0.03,,-0.04,-0.02,,,,-0.02,0.05,Tournament,2020,,,,,,
308,Q. Karlsen,Eastern Sleboube,DF,33,1988,1.0,-0.02,-0.1,0.02,,-0.06,0.05,,,,0.03,0.07,Tournament,2020,,,,,,
309,V. Purwanto,Eastern Sleboube,DF,38,1983,4.98,0.09,0.76,0.04,-0.01,0.86,0.01,0.0,,,0.03,0.1,Tournament,2020,,,,,,
310,W. Tumwesige,Eastern Sleboube,DF,22,1999,0.44,-0.1,-0.01,-0.05,,-0.03,0.05,,,,0.05,-0.06,Tournament,2020,,,,,,
311,W. Nakyejwe,Eastern Sleboube,DFFW,26,1995,4.07,0.18,0.53,0.59,99.96,0.5,0.56,0.43,0.46,,0.09,-0.1,Tournament,2020,,,,,,
312,P. Amadi,Eastern Sleboube,DFMF,33,1988,0.25,0.0,0.08,-0.08,,-0.07,0.01,,,,0.03,-0.05,Tournament,2020,,,,,,
313,D. Rahmawati,Eastern Sleboube,FW,26,1995,1.37,-0.04,0.74,0.06,-0.07,0.75,-0.06,0.0,,,-0.03,-0.06,Tournament,2020,,,,,,
314,Q. Kemigisa,Eastern Sleboube,FW,24,1997,0.08,-0.02,9.97,0.0,0.06,9.09,0.02,0.01,,,-0.06,-0.02,Tournament,2020,,,,,,
315,S. Yamada,Eastern Sleboube,FW,25,1996,1.18,0.09,0.81,-0.03,-0.08,0.89,-0.09,-0.02,,,-0.09,0.0,Tournament,2020,,,,,,
316,V. Kyomuhangi,Eastern Sleboube,FW,33,1988,4.03,0.4,3.04,1.18,41.64,3.07,1.29,0.1,0.24,,0.25,0.27,Tournament,2020,,,,,,
317,W. Ghosh,Eastern Sleboube,FW,30,1990,1.02,1.02,5.02,1.05,19.95,5.15,1.05,0.29,0.96,,0.01,-0.05,Tournament,2020,,,,,,
318,X. Yo,Eastern Sleboube,FW,30,1991,1.53,0.01,5.72,3.12,55.6,5.81,3.18,0.05,-0.09,,0.04,-0.02,Tournament,2020,,,,,,
319,G. Kukk,Eastern Sleboube,GK,34,1987,0.45,0.07,-0.07,-0.01,,-0.01,0.01,,,,-0.02,0.03,Tournament,2020,,,,,,
320,K. Nakibuule,Eastern Sleboube,GK,34,1987,4.08,-0.03,0.1,-0.04,,0.06,-0.09,,,,-0.09,0.02,Tournament,2020,,,,,,
321,K. Obong,Eastern Sleboube,GK,35,1985,1.56,-0.05,0.09,-0.09,,0.1,0.08,,,,0.01,0.06,Tournament,2020,,,,,,
322,H. Walusimbi,Eastern Sleboube,MF,24,1997,0.18,0.02,-0.09,-0.08,,0.03,0.04,,,,-0.09,-0.03,Tournament,2020,,,,,,
323,J. Vargas,Eastern Sleboube,MF,24,1997,1.19,-0.03,1.78,1.0,49.92,1.85,0.91,-0.02,0.04,,-0.04,0.06,Tournament,2020,,,,,,
324,S. Nisha,Eastern Sleboube,MF,23,1998,0.56,0.04,2.1,1.93,100.03,1.9,2.02,0.01,-0.03,,0.07,0.0,Tournament,2020,,,,,,
325,T. Jakobsson,Eastern Sleboube,MF,29,1992,5.84,0.22,1.48,0.41,22.15,1.61,0.29,0.2,0.51,,0.01,0.08,Tournament,2020,,,,,,
326,W. Bwanali,Eastern Sleboube,MF,27,1994,4.96,-0.02,0.97,0.25,20.02,0.94,0.31,0.03,0.05,,-0.09,-0.06,Tournament,2020,,,,,,
327,X. Komujuni,Eastern Sleboube,MF,32,1989,0.76,0.01,0.04,0.0,,-0.08,-0.05,,,,-0.05,-0.08,Tournament,2020,,,,,,
328,X. Ruiz,Eastern Sleboube,MF,32,1989,1.16,-0.04,2.58,0.73,33.39,2.36,0.77,0.06,-0.01,,-0.04,-0.05,Tournament,2020,,,,,,
